method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,0.0,0,button-press-v3,background_shift,0.7333333333333333,0.4497764451088037,30,52.10342899786854,28.84299636254006,30,108.6,56.15225607283259,30,0.023286017521802534,0.01373140156290184,30,0.7756072094008627,0.03107093050740245,30,0.0,0.0,30,,,0,,,0,-0.9181398811316839,0.565986618612686,30,,,0,,,0,,,0,0.08211756827352532,5.265986577934215,10.251952435298954,0.00250699946072101,0.005672749840526586,0.0,,,0.10333454608674714,,,
bc_only,bc_only,0.0,0,button-press-v3,brightness,0.26666666666666666,0.44977644510880355,30,63.608592409856946,22.147223198069288,30,172.26666666666668,46.81580438516341,30,0.061352213311325385,0.03534566940342863,30,0.7901042015999821,0.0373681447202713,30,0.0,0.0,30,,,0,,,0,-2.2829998241830305,0.5755465754296792,30,,,0,,,0,,,0,0.08211756827352527,4.043511243894751,8.547357369834424,0.006453206814126009,0.006822458598470056,0.0,,,0.10507994741922796,,,
bc_only,bc_only,0.0,0,button-press-v3,clean,0.9,0.30512857662936466,30,67.85554520784957,39.903712336227166,30,83.16666666666667,39.92327411538229,30,0.019925094094024355,0.0017327449561507378,30,0.842410891837829,0.04520312500625779,30,0.0,0.0,30,,,0,,,0,-2.8698929840679686,0.734255203439197,30,,,0,,,0,,,0,0.055708601453115555,7.28538779158293,7.288959267485662,0.00031635449962901966,0.008252923745217747,0.0,,,0.13405604596306434,,,
bc_only,bc_only,0.0,0,drawer-open-v3,background_shift,0.0,0.0,30,694.5624513797138,270.16366005748404,30,200.0,0.0,30,0.15452635534110257,0.04840849216725899,30,0.36809019812072313,0.055871634605096754,30,0.0,0.0,30,,,0,,,0,-2.08756160607934,0.3375574975400314,30,,,0,,,0,,,0,0.0,49.32491027721382,0.0,0.008838141044939966,0.010200718199299245,0.0,,,0.061629285285889936,,,
bc_only,bc_only,0.0,0,drawer-open-v3,brightness,0.0,0.0,30,271.85509680185436,34.50950685503724,30,200.0,0.0,30,0.190000034686474,1.8998564576723217e-07,30,0.7085108284453552,0.1200051973700886,30,0.0,0.0,30,,,0,,,0,-6.003531591733297,0.957919052891579,30,,,0,,,0,,,0,0.0,6.300545117627686,0.0,3.468647459629965e-08,0.021909851205819054,0.0,,,0.17489129117756738,,,
bc_only,bc_only,0.0,0,drawer-open-v3,clean,1.0,0.0,30,372.712017835277,40.07050949811968,30,93.06666666666666,6.8022984621241145,30,0.02743785781682141,0.0011119663270101918,30,1.1858428484254375,0.023374192880083383,30,0.0,0.0,30,,,0,,,0,-8.399316710305778,0.5665703949188492,30,,,0,,,0,,,0,0.0,7.315840647615053,1.2419241035293593,0.0002030163468298827,0.0042675242346327715,0.0,,,0.10344112857055468,,,
bc_only,bc_only,0.0,0,reach-v3,background_shift,0.13333333333333333,0.3457459036417604,30,721.555055035667,299.24533817601645,30,180.8,50.232150715624755,30,0.24229737830270642,0.08599497948273592,30,0.6759418658467695,0.055244082319636775,30,0.0,0.0,30,,,0,,,0,-2.9408713014594654,0.2856997610421916,30,,,0,,,0,,,0,0.06312427686319991,54.634473982422016,9.171094019648983,0.0157004633649628,0.010086143351712462,0.0,,,0.052161401265547996,,,
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,30,799.0471446356466,368.53482904277615,30,200.0,0.0,30,0.2268798340407884,0.059254465335319195,30,0.8982405390441418,0.067864920134905,30,0.0,0.0,30,,,0,,,0,-4.751513271272183,0.36667616345930165,30,,,0,,,0,,,0,0.0,67.28494636434617,0.0,0.010818335765687413,0.012390382540391336,0.0,,,0.06694560200870368,,,
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.5040069329937308,30,726.5470384668921,466.314434397407,30,132.26666666666668,79.01590120778324,30,0.12571231105645672,0.07947922313645692,30,0.6402702698359182,0.08267085968709138,30,0.0,0.0,30,,,0,,,0,-6.210591666629071,0.5590082053527969,30,,,0,,,0,,,0,0.0920186554465537,85.13697820324093,14.426263831034195,0.014510854454941317,0.01509356489965481,0.0,,,0.10206046796740234,,,
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,background_shift,0.7,0.466091599699399,30,56.19819938798548,29.739392016877236,30,113.7,57.54647297379864,30,0.026324953960826607,0.02060631599001772,30,0.7379339003195654,0.046963824455960576,30,0.04527250341266783,0.01860491079946579,30,-0.49421852413835404,0.04706443682616084,30,0.49424426136531524,0.04707336155409209,30,-0.9528661902912539,0.5524184306786825,30,0.010612459627785406,0.0017399443674895692,30,3.9465242482054603,1.053083198929179,30,0.0012188815092931443,0.00026670985673804266,30,0.08509629433967632,5.429645284710906,10.506500450870305,0.0037621813649373684,0.008574382013747465,0.003396776441746296,0.008592751235321713,0.00859438066025756,0.10085734522143942,0.0003176689262926985,0.1922658076610705,4.869433494813239e-05
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,brightness,0.7,0.46609159969939906,30,64.02270162139713,23.445126798121375,30,124.56666666666666,50.648677235907414,30,0.03230749032131915,0.026158039628841657,30,0.742751186519596,0.05438604315917071,30,0.12954611577943898,0.02781997427464718,30,-0.6737839556187308,0.06589101222735298,30,0.6740122257384915,0.06593994612502302,30,-2.782254317169148,0.5166719977856636,30,0.007693767836990129,0.0007858467935851498,30,4.337588508059917,1.49499536366334,30,0.002254407923095096,0.0005502605361503529,30,0.08509629433967632,4.280474936966649,9.2471410099683,0.00477578278827688,0.009929487550575775,0.005079209153145894,0.012029997911256649,0.012038931977783492,0.09433096933948908,0.00014347533852989753,0.2729475613480168,0.00010046336938481172
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,clean,0.03333333333333333,0.18257418583505536,30,147.35462362907617,55.017126017341646,30,199.8,1.0954451150103304,30,0.09611920426081373,0.02285030851145704,30,0.6982434533104505,0.0874095343318605,30,0.15714965766009595,0.05221109595871254,30,-0.830384962556522,0.036966304169732955,30,0.8307803286363169,0.03680951236230279,30,-3.7128032335363508,0.8775197666037217,30,0.007354925824437571,0.0020871570628165368,30,5.825976008252271,6.080199625521534,30,0.004094668634144869,0.0039406798450798,30,0.03333333333333333,10.044706989600794,0.19999999999999965,0.004171876472559105,0.01595872456486075,0.009532398336217891,0.006749092887120007,0.006720466750532837,0.1602124569418423,0.0003810610014536147,1.1100874963442025,0.0007194664143520567
